Date,Number of patients
01/04/2015,49
02/04/2015,58
03/04/2015,36
04/04/2015,44
05/04/2015,64
06/04/2015,46
07/04/2015,46
08/04/2015,39
09/04/2015,58
10/04/2015,61
11/04/2015,51
12/04/2015,52
13/04/2015,48
14/04/2015,24
15/04/2015,43
16/04/2015,56
17/04/2015,44
18/04/2015,47
19/04/2015,44
20/04/2015,48
21/04/2015,31
22/04/2015,32
23/04/2015,45
24/04/2015,43
25/04/2015,40
26/04/2015,45
27/04/2015,50
28/04/2015,38
29/04/2015,29
30/04/2015,48
01/05/2015,51
02/05/2015,44
03/05/2015,40
04/05/2015,33
05/05/2015,34
06/05/2015,33
07/05/2015,49
08/05/2015,46
09/05/2015,49
10/05/2015,44
11/05/2015,41
12/05/2015,22
13/05/2015,40
14/05/2015,43
15/05/2015,46
16/05/2015,45
17/05/2015,49
18/05/2015,47
19/05/2015,28
20/05/2015,47
21/05/2015,44
22/05/2015,51
23/05/2015,48
24/05/2015,37
25/05/2015,49
26/05/2015,50
27/05/2015,40
28/05/2015,44
29/05/2015,48
30/05/2015,37
31/05/2015,47
01/06/2015,48
02/06/2015,35
03/06/2015,41
04/06/2015,46
05/06/2015,43
06/06/2015,66
07/06/2015,51
08/06/2015,46
09/06/2015,26
10/06/2015,32
11/06/2015,46
12/06/2015,40
13/06/2015,30
14/06/2015,49
15/06/2015,42
16/06/2015,27
17/06/2015,38
18/06/2015,43
19/06/2015,36
20/06/2015,44
21/06/2015,44
22/06/2015,50
23/06/2015,37
24/06/2015,30
25/06/2015,46
26/06/2015,44
27/06/2015,41
28/06/2015,52
29/06/2015,49
30/06/2015,23
01/07/2015,30
02/07/2015,44
03/07/2015,30
04/07/2015,35
05/07/2015,46
06/07/2015,39
07/07/2015,37
08/07/2015,35
09/07/2015,40
10/07/2015,31
11/07/2015,35
12/07/2015,40
13/07/2015,34
14/07/2015,27
15/07/2015,31
16/07/2015,43
17/07/2015,39
18/07/2015,38
19/07/2015,39
20/07/2015,36
21/07/2015,31
22/07/2015,32
23/07/2015,45
24/07/2015,40
25/07/2015,44
26/07/2015,35
27/07/2015,45
28/07/2015,37
29/07/2015,25
30/07/2015,50
31/07/2015,34
01/08/2015,27
02/08/2015,47
03/08/2015,36
04/08/2015,22
05/08/2015,20
06/08/2015,50
07/08/2015,49
08/08/2015,46
09/08/2015,26
10/08/2015,38
11/08/2015,24
12/08/2015,40
13/08/2015,39
14/08/2015,49
15/08/2015,42
16/08/2015,36
17/08/2015,35
18/08/2015,24
19/08/2015,27
20/08/2015,42
21/08/2015,33
22/08/2015,34
23/08/2015,32
24/08/2015,52
25/08/2015,25
26/08/2015,37
27/08/2015,29
28/08/2015,34
29/08/2015,25
30/08/2015,36
31/08/2015,26
01/09/2015,30
02/09/2015,35
03/09/2015,35
04/09/2015,38
05/09/2015,34
06/09/2015,33
07/09/2015,39
08/09/2015,25
09/09/2015,33
10/09/2015,46
11/09/2015,40
12/09/2015,32
13/09/2015,33
14/09/2015,34
15/09/2015,26
16/09/2015,27
17/09/2015,39
18/09/2015,40
19/09/2015,28
20/09/2015,47
21/09/2015,43
22/09/2015,34
23/09/2015,36
24/09/2015,44
25/09/2015,46
26/09/2015,47
27/09/2015,45
28/09/2015,51
29/09/2015,31
30/09/2015,50
01/10/2015,41
02/10/2015,45
03/10/2015,43
04/10/2015,42
05/10/2015,42
06/10/2015,41
07/10/2015,36
08/10/2015,44
09/10/2015,41
10/10/2015,43
11/10/2015,40
12/10/2015,42
13/10/2015,45
14/10/2015,45
15/10/2015,53
16/10/2015,33
17/10/2015,43
18/10/2015,53
19/10/2015,45
20/10/2015,41
21/10/2015,32
22/10/2015,44
23/10/2015,46
24/10/2015,46
25/10/2015,44
26/10/2015,39
27/10/2015,32
28/10/2015,33
29/10/2015,48
30/10/2015,43
31/10/2015,51
01/11/2015,47
02/11/2015,41
03/11/2015,42
04/11/2015,35
05/11/2015,52
06/11/2015,43
07/11/2015,34
08/11/2015,36
09/11/2015,49
10/11/2015,27
11/11/2015,30
12/11/2015,49
13/11/2015,35
14/11/2015,51
15/11/2015,45
16/11/2015,50
17/11/2015,30
18/11/2015,28
19/11/2015,46
20/11/2015,30
21/11/2015,44
22/11/2015,35
23/11/2015,47
24/11/2015,34
25/11/2015,34
26/11/2015,58
27/11/2015,38
28/11/2015,41
29/11/2015,48
30/11/2015,44
01/12/2015,30
02/12/2015,32
03/12/2015,47
04/12/2015,37
05/12/2015,64
06/12/2015,41
07/12/2015,52
08/12/2015,33
09/12/2015,47
10/12/2015,58
11/12/2015,58
12/12/2015,54
13/12/2015,61
14/12/2015,73
15/12/2015,45
16/12/2015,46
17/12/2015,55
18/12/2015,47
19/12/2015,53
20/12/2015,51
21/12/2015,45
22/12/2015,52
23/12/2015,48
24/12/2015,59
25/12/2015,42
26/12/2015,59
27/12/2015,81
28/12/2015,79
29/12/2015,57
30/12/2015,60
31/12/2015,89
01/01/2016,54
02/01/2016,66
03/01/2016,69
04/01/2016,61
05/01/2016,57
06/01/2016,44
07/01/2016,55
08/01/2016,58
09/01/2016,68
10/01/2016,53
11/01/2016,69
12/01/2016,40
13/01/2016,41
14/01/2016,72
15/01/2016,55
16/01/2016,49
17/01/2016,44
18/01/2016,51
19/01/2016,37
20/01/2016,43
21/01/2016,85
22/01/2016,44
23/01/2016,51
24/01/2016,46
25/01/2016,45
26/01/2016,46
27/01/2016,40
28/01/2016,56
29/01/2016,58
30/01/2016,53
31/01/2016,55
01/02/2016,56
02/02/2016,37
03/02/2016,30
04/02/2016,66
05/02/2016,49
06/02/2016,47
07/02/2016,47
08/02/2016,54
09/02/2016,41
10/02/2016,44
11/02/2016,62
12/02/2016,51
13/02/2016,55
14/02/2016,55
15/02/2016,60
16/02/2016,45
17/02/2016,57
18/02/2016,68
19/02/2016,48
20/02/2016,44
21/02/2016,49
22/02/2016,61
23/02/2016,47
24/02/2016,48
25/02/2016,54
26/02/2016,47
27/02/2016,45
28/02/2016,71
29/02/2016,61
01/03/2016,38
02/03/2016,57
03/03/2016,62
04/03/2016,59
05/03/2016,82
06/03/2016,66
07/03/2016,62
08/03/2016,47
09/03/2016,52
10/03/2016,50
11/03/2016,45
12/03/2016,68
13/03/2016,55
14/03/2016,79
15/03/2016,50
16/03/2016,54
17/03/2016,54
18/03/2016,59
19/03/2016,50
20/03/2016,54
21/03/2016,74
22/03/2016,44
23/03/2016,58
24/03/2016,56
25/03/2016,61
26/03/2016,70
27/03/2016,77
28/03/2016,62
29/03/2016,62
30/03/2016,50
31/03/2016,64
01/04/2016,58
02/04/2016,71
03/04/2016,53
04/04/2016,64
05/04/2016,49
06/04/2016,47
07/04/2016,69
08/04/2016,54
09/04/2016,58
10/04/2016,64
11/04/2016,71
12/04/2016,43
13/04/2016,56
14/04/2016,66
15/04/2016,48
16/04/2016,56
17/04/2016,55
18/04/2016,43
19/04/2016,29
20/04/2016,44
21/04/2016,46
22/04/2016,38
23/04/2016,45
24/04/2016,37
25/04/2016,41
26/04/2016,30
27/04/2016,43
28/04/2016,53
29/04/2016,46
30/04/2016,45
01/05/2016,37
02/05/2016,43
03/05/2016,29
04/05/2016,34
05/05/2016,47
06/05/2016,39
07/05/2016,47
08/05/2016,52
09/05/2016,48
10/05/2016,46
11/05/2016,32
12/05/2016,41
13/05/2016,40
14/05/2016,45
15/05/2016,28
16/05/2016,53
17/05/2016,23
18/05/2016,45
19/05/2016,46
20/05/2016,37
21/05/2016,47
22/05/2016,45
23/05/2016,41
24/05/2016,34
25/05/2016,42
26/05/2016,37
27/05/2016,58
28/05/2016,47
29/05/2016,41
30/05/2016,38
31/05/2016,43
01/06/2016,28
02/06/2016,50
03/06/2016,42
04/06/2016,49
05/06/2016,43
06/06/2016,39
07/06/2016,28
08/06/2016,30
09/06/2016,41
10/06/2016,46
11/06/2016,45
12/06/2016,32
13/06/2016,35
14/06/2016,28
15/06/2016,35
16/06/2016,49
17/06/2016,35
18/06/2016,38
19/06/2016,45
20/06/2016,34
21/06/2016,36
22/06/2016,25
23/06/2016,45
24/06/2016,41
25/06/2016,38
26/06/2016,40
27/06/2016,48
28/06/2016,33
29/06/2016,36
30/06/2016,37
01/07/2016,47
02/07/2016,34
03/07/2016,43
04/07/2016,40
05/07/2016,22
06/07/2016,31
07/07/2016,48
08/07/2016,40
09/07/2016,33
10/07/2016,30
11/07/2016,37
12/07/2016,36
13/07/2016,31
14/07/2016,44
15/07/2016,39
16/07/2016,39
17/07/2016,50
18/07/2016,34
19/07/2016,25
20/07/2016,39
21/07/2016,48
22/07/2016,47
23/07/2016,34
24/07/2016,34
25/07/2016,29
26/07/2016,42
27/07/2016,30
28/07/2016,45
29/07/2016,32
30/07/2016,34
31/07/2016,31
01/08/2016,35
02/08/2016,16
03/08/2016,30
04/08/2016,45
05/08/2016,38
06/08/2016,39
07/08/2016,33
08/08/2016,50
09/08/2016,27
10/08/2016,24
11/08/2016,46
12/08/2016,27
13/08/2016,36
14/08/2016,52
15/08/2016,42
16/08/2016,23
17/08/2016,27
18/08/2016,41
19/08/2016,33
20/08/2016,32
21/08/2016,46
22/08/2016,45
23/08/2016,26
24/08/2016,23
25/08/2016,32
26/08/2016,43
27/08/2016,39
28/08/2016,29
29/08/2016,39
30/08/2016,30
31/08/2016,36
01/09/2016,40
02/09/2016,30
03/09/2016,24
04/09/2016,49
05/09/2016,50
06/09/2016,24
07/09/2016,29
08/09/2016,32
09/09/2016,25
10/09/2016,33
11/09/2016,36
12/09/2016,44
13/09/2016,28
14/09/2016,26
15/09/2016,30
16/09/2016,35
17/09/2016,40
18/09/2016,29
19/09/2016,39
20/09/2016,35
21/09/2016,43
22/09/2016,51
23/09/2016,33
24/09/2016,33
25/09/2016,39
26/09/2016,47
27/09/2016,32
28/09/2016,32
29/09/2016,44
30/09/2016,46
01/10/2016,46
02/10/2016,41
03/10/2016,50
04/10/2016,29
05/10/2016,33
06/10/2016,41
07/10/2016,38
08/10/2016,39
09/10/2016,40
10/10/2016,43
11/10/2016,32
12/10/2016,31
13/10/2016,49
14/10/2016,64
15/10/2016,36
16/10/2016,38
17/10/2016,50
18/10/2016,32
19/10/2016,35
20/10/2016,48
21/10/2016,37
22/10/2016,43
23/10/2016,31
24/10/2016,51
25/10/2016,35
26/10/2016,34
27/10/2016,47
28/10/2016,35
29/10/2016,40
30/10/2016,42
31/10/2016,35
01/11/2016,37
02/11/2016,42
03/11/2016,41
04/11/2016,41
05/11/2016,31
06/11/2016,43
07/11/2016,36
08/11/2016,27
09/11/2016,35
10/11/2016,41
11/11/2016,51
12/11/2016,51
13/11/2016,32
14/11/2016,39
15/11/2016,35
16/11/2016,39
17/11/2016,35
18/11/2016,32
19/11/2016,45
20/11/2016,43
21/11/2016,42
22/11/2016,28
23/11/2016,39
24/11/2016,46
25/11/2016,44
26/11/2016,39
27/11/2016,50
28/11/2016,53
29/11/2016,50
30/11/2016,37
01/12/2016,68
02/12/2016,37
03/12/2016,49
04/12/2016,49
05/12/2016,36
06/12/2016,48
07/12/2016,45
08/12/2016,63
09/12/2016,52
10/12/2016,51
11/12/2016,66
12/12/2016,64
13/12/2016,34
14/12/2016,44
15/12/2016,66
16/12/2016,40
17/12/2016,49
18/12/2016,57
19/12/2016,55
20/12/2016,40
21/12/2016,46
22/12/2016,56
23/12/2016,54
24/12/2016,39
25/12/2016,59
26/12/2016,82
27/12/2016,59
28/12/2016,45
29/12/2016,83
30/12/2016,61
31/12/2016,43
01/01/2017,64
02/01/2017,82
03/01/2017,59
04/01/2017,60
05/01/2017,77
06/01/2017,57
07/01/2017,53
08/01/2017,60
09/01/2017,61
10/01/2017,29
11/01/2017,39
12/01/2017,59
13/01/2017,46
14/01/2017,42
15/01/2017,45
16/01/2017,39
17/01/2017,37
18/01/2017,41
19/01/2017,48
20/01/2017,55
21/01/2017,48
22/01/2017,46
23/01/2017,52
24/01/2017,41
25/01/2017,39
26/01/2017,48
27/01/2017,47
28/01/2017,58
29/01/2017,55
30/01/2017,59
31/01/2017,37
01/02/2017,42
02/02/2017,62
03/02/2017,28
04/02/2017,58
05/02/2017,35
06/02/2017,60
07/02/2017,52
08/02/2017,42
09/02/2017,63
10/02/2017,50
11/02/2017,45
12/02/2017,52
13/02/2017,56
14/02/2017,42
15/02/2017,39
16/02/2017,67
17/02/2017,52
18/02/2017,35
19/02/2017,50
20/02/2017,51
21/02/2017,39
22/02/2017,41
23/02/2017,55
24/02/2017,44
25/02/2017,47
26/02/2017,37
27/02/2017,51
28/02/2017,45
01/03/2017,42
02/03/2017,60
03/03/2017,63
04/03/2017,42
05/03/2017,52
06/03/2017,48
07/03/2017,39
08/03/2017,33
09/03/2017,57
10/03/2017,43
11/03/2017,43
12/03/2017,47
13/03/2017,49
14/03/2017,37
15/03/2017,48
16/03/2017,55
17/03/2017,58
18/03/2017,44
19/03/2017,76
20/03/2017,53
21/03/2017,52
22/03/2017,63
23/03/2017,66
24/03/2017,70
25/03/2017,54
26/03/2017,47
27/03/2017,70
28/03/2017,56
29/03/2017,60
30/03/2017,67
31/03/2017,48
01/04/2017,55
02/04/2017,47
03/04/2017,67
04/04/2017,44
05/04/2017,49
06/04/2017,58
07/04/2017,45
08/04/2017,54
09/04/2017,61
10/04/2017,53
11/04/2017,37
12/04/2017,44
13/04/2017,56
14/04/2017,42
15/04/2017,60
16/04/2017,44
17/04/2017,34
18/04/2017,39
19/04/2017,44
20/04/2017,50
21/04/2017,55
22/04/2017,42
23/04/2017,55
24/04/2017,56
25/04/2017,39
26/04/2017,36
27/04/2017,49
28/04/2017,44
29/04/2017,44
30/04/2017,57
01/05/2017,39
02/05/2017,34
03/05/2017,37
04/05/2017,55
05/05/2017,40
06/05/2017,34
07/05/2017,51
08/05/2017,37
09/05/2017,31
10/05/2017,42
11/05/2017,39
12/05/2017,57
13/05/2017,32
14/05/2017,49
15/05/2017,43
16/05/2017,40
17/05/2017,47
18/05/2017,54
19/05/2017,45
20/05/2017,41
21/05/2017,48
22/05/2017,55
23/05/2017,41
24/05/2017,46
25/05/2017,35
26/05/2017,56
27/05/2017,55
